# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LOC101927244	LOC101927244	NR_125938.1		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927248	LOC101927248	NR_120417.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927267	LOC101927267	NR_120449.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927272	LOC101927272	NR_110908.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927274	LOC101927274	NR_110751.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927278	LOC101927278	NR_134451.1		0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927282	LOC101927282	NR_110753.1		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927284	LOC101927284	NR_110754.1		0	0	0	11	0	0	0	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927285	LOC101927285	NR_110219.1		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927286	LOC101927286	NR_120324.1		0	0	0	13	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927292	LOC101927292	NR_110048.1		0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2
LOC101927296	LOC101927296	NR_121660.1		0	0	0	6	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927305	LOC101927305	NR_125883.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927310	LOC101927310	NR_110756.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927311	LOC101927311	NR_110909.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927314	LOC101927314	NR_110757.1		0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927318	LOC101927318	NR_110590.1		0	0	0	7	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927322	LOC101927322	NM_001289967.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927331	LOC101927331	NR_135589.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927334	LOC101927334	NR_110913.1		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101927342	LOC101927342	NR_125939.1		0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927348	LOC101927348	NR_110915.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927354	LOC101927354	NR_108073.1		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927357	LOC101927357	NR_134281.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927358	LOC101927358	NR_121182.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927374	LOC101927374	NR_110133.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927378	LOC101927378	NR_110079.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927379	LOC101927379	NR_109881.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927394	LOC101927394	NR_110131.1		0	0	0	5	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927406	LOC101927406	NR_110222.1		0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101927410	LOC101927410	NR_110777.1		0	0	0	4	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
LOC101927411	LOC101927411	NR_110694.1		0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927412	LOC101927412	NR_125940.1		0	0	0	7	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927419	LOC101927419	NR_120621.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927421	LOC101927421	NR_109882.1		0	0	0	28	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927434	LOC101927434	NR_125943.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927437	LOC101927437	NR_120421.1		0	0	0	29	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927438	LOC101927438	NR_110224.1		0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927446	LOC101927446	NR_110085.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927447	LOC101927447	NR_134582.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927450	LOC101927450	NR_109771.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927460	LOC101927460	NR_109887.1		0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101927464	LOC101927464	NR_110053.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927472	LOC101927472	NR_120622.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927482	LOC101927482	NR_110225.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927488	LOC101927488	NR_105039.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927494	LOC101927494	NR_135563.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927497	LOC101927497	NR_110086.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927501	LOC101927501	NR_110387.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927502	LOC101927502	NR_109772.1		0	0	0	5	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1
LOC101927503	LOC101927503	NM_001323425.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927513	LOC101927513	NR_134297.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927523	LOC101927523	NR_120624.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927526	LOC101927526	NR_109966.1		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101927539	LOC101927539	NR_110807.1		0	0	0	7	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	2
LOC101927549	LOC101927549	NR_120625.1		0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927557	LOC101927557	NR_110808.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927560	LOC101927560	NR_119374.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927571	LOC101927571	NR_110782.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927572	LOC101927572	NM_001290056.1	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927575	LOC101927575	NR_110995.1		0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927580	LOC101927580	NR_110917.1		0	0	0	8	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	2
LOC101927583	LOC101927583	NR_120450.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927587	LOC101927587	NR_119375.1		0	0	0	21	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927588	LOC101927588	NR_125420.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927592	LOC101927592	NR_104646.1		0	0	0	17	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	4
LOC101927596	LOC101927596	NR_135584.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927604	LOC101927604	NR_110681.1		0	0	0	5	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927606	LOC101927606	NR_131977.1		0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927616	LOC101927616	NR_110057.1		0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927619	LOC101927619	NR_110267.1		0	0	0	6	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927620	LOC101927620	NR_110062.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927630	LOC101927630	NR_110013.1		0	0	0	19	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927636	LOC101927636	NR_125886.1		0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
LOC101927640	LOC101927640	NR_121193.1		0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927641	LOC101927641	NR_110270.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927650	LOC101927650	NR_110918.1		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927651	LOC101927651	NR_110784.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927653	LOC101927653	NR_120452.1		0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927657	LOC101927657	NR_125421.1		0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927661	LOC101927661	NR_110568.1		0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927666	LOC101927666	NR_110809.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927668	LOC101927668	NR_110114.1		0	0	0	21	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101927690	LOC101927690	NR_135241.1		0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927691	LOC101927691	NR_110853.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927692	LOC101927692	NR_120628.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927697	LOC101927697	NR_109888.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927701	LOC101927701	NR_110271.1		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927708	LOC101927708	NR_126335.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927709	LOC101927709	NR_110272.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927727	LOC101927727	NR_135633.1		0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC101927730	LOC101927730	NR_110841.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927735	LOC101927735	NR_110058.1		0	0	0	6	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927740	LOC101927740	NR_109890.1		0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927746	LOC101927746	NR_110115.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927751	LOC101927751	NR_135827.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927752	LOC101927752	NR_134302.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927755	LOC101927755	NR_110815.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927759	LOC101927759	NR_132750.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927762	LOC101927762	NR_120629.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927766	LOC101927766	NR_109891.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927768	LOC101927768	NR_125845.1		0	1	0	16	0	0	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC101927769	LOC101927769	NR_110117.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927770	LOC101927770	NR_110051.1		0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927780	LOC101927780	NR_110416.1		0	0	0	7	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	1
LOC101927787	LOC101927787	NR_125944.1		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927793	LOC101927793	NR_135194.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927795	LOC101927795	NR_110275.1		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927798	LOC101927798	NR_125422.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927811	LOC101927811	NR_110119.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927814	LOC101927814	NR_110930.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927815	LOC101927815	NR_125423.1		0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101927817	LOC101927817	NR_110931.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927829	LOC101927829	NR_110814.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927835	LOC101927835	NR_105064.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927843	LOC101927843	NR_109959.1		0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927845	LOC101927845	NR_125427.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927847	LOC101927847	NR_109791.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927849	LOC101927849	NR_125887.1		0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927851	LOC101927851	NR_125945.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927854	LOC101927854	NR_121667.1		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927855	LOC101927855	NR_136397.1		0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2
LOC101927859	LOC101927859	NR_136572.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927865	LOC101927865	NR_110283.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927869	LOC101927869	NR_109963.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927870	LOC101927870	NR_110141.1		0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927877	LOC101927877	NR_135634.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927881	LOC101927881	NR_110278.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927901	LOC101927901	NR_110063.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927907	LOC101927907	NR_110284.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927911	LOC101927911	NR_110818.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927914	LOC101927914	NR_110157.1		0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927915	LOC101927915	NR_125428.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927919	LOC101927919	NR_110854.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927924	LOC101927924	NR_110285.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927926	LOC101927926	NR_110286.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101927932	LOC101927932	NR_126334.1		0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927948	LOC101927948	NR_110287.1		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927950	LOC101927950	NR_110842.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927960	LOC101927960	NR_136588.1		0	0	0	18	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927964	LOC101927964	NR_120632.1		0	0	0	5	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1
LOC101927967	LOC101927967	NR_110288.1		0	0	0	34	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927972	LOC101927972	NR_125846.1		0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927973	LOC101927973	NR_126012.1		0	0	0	5	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101927989	LOC101927989	NR_136504.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928000	LOC101928000	NR_135657.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928002	LOC101928002	NR_110072.1		0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928008	LOC101928008	NR_120539.1		0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928009	LOC101928009	NR_110685.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928012	LOC101928012	NR_110158.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928034	LOC101928034	NR_125947.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928035	LOC101928035	NR_104657.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928048	LOC101928048	NR_109903.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928053	LOC101928053	NR_120540.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928058	LOC101928058	NR_136274.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928068	LOC101928068	NR_111907.1		0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101928075	LOC101928075	NR_110071.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101928093	LOC101928093	NM_001287812.1	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928098	LOC101928098	NR_132786.1		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928100	LOC101928100	NR_120430.1		0	1	0	6	0	0	0	1	3	0	2	0	0	0	0	1	0	0	0	0	0	1
LOC101928103	LOC101928103	NR_110292.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928105	LOC101928105	NR_121657.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928107	LOC101928107	NR_109961.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928118	LOC101928118	NR_125948.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928126	LOC101928126	NR_134561.1		0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928131	LOC101928131	NR_121677.1		0	0	0	5	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928132	LOC101928132	NR_135052.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928134	LOC101928134	NR_120326.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928135	LOC101928135	NR_110817.1		0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928140	LOC101928140	NR_125849.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928150	LOC101928150	NR_120634.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928160	LOC101928160	NR_134306.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928161	LOC101928161	NR_110294.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928163	LOC101928163	NR_110799.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928166	LOC101928166	NR_136178.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928174	LOC101928174	NR_120329.1		0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928177	LOC101928177	NR_135113.1		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928191	LOC101928191	NR_125851.1		0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
LOC101928203	LOC101928203	NR_110934.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928205	LOC101928205	NR_110827.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928211	LOC101928211	NR_110180.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928222	LOC101928222	NR_110235.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928227	LOC101928227	NR_120330.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928231	LOC101928231	NR_125852.1		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928233	LOC101928233	NR_131192.1		0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC101928241	LOC101928241	NR_110693.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928251	LOC101928251	NR_135635.1		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928253	LOC101928253	NR_125853.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928254	LOC101928254	NR_110182.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928266	LOC101928266	NR_110828.1		0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
LOC101928269	LOC101928269	NR_110418.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928272	LOC101928272	NR_120635.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928273	LOC101928273	NR_120402.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928279	LOC101928279	NR_125892.1		0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928280	LOC101928280	NR_125854.1		0	0	0	8	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928283	LOC101928283	NR_110188.1		0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928295	LOC101928295	NR_110729.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928303	LOC101928303	NR_110698.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928304	LOC101928304	NR_125855.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928306	LOC101928306	NR_125893.1		0	0	0	7	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101928322	LOC101928322	NR_120637.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928327	LOC101928327	NR_130782.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928333	LOC101928333	NR_110194.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928370	LOC101928370	NR_104626.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101928371	LOC101928371	NR_110236.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC101928372	LOC101928372	NR_110695.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
